query_id	query	description	engine	title	rank	score
1	benefits of running regularly	Want to know the benefits of running regularly	BING	12 Physical & Mental Health Benefits of Running Regularly	9	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	Running and jogging - health benefits - Better Health Channel	10	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	Benefits of Running: 11 Reasons Why You Should Do It | Openfit	1	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	Six Primary Benefits of Running - How Going for a Run ...	2	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	"Running Everyday: Benefits, Risks, Creating a Routine, and ..."	3	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	Stretch Out	4	0
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	4 Essential Exercises to Improve Running Technique	5	0
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	High-Impact	6	0
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	Running and jogging - health benefits - Better Health Channel	7	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	12 Physical & Mental Health Benefits of Running Regularly	8	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	11 Important Benefits of Running | Organic Facts	9	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	74 Benefits of Running Backed by Science | RunRepeat	10	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	"Computer Monitors: LCD, LED Monitors - Best Buy"	1	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	LED Monitors	2	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	All Monitors	3	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	4K Monitors	4	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	Top Picks for Monitors	5	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	All Computer Monitors - Walmart.com	6	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	The 8 Best Computer Monitors of 2021	7	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	laptop screen - Best Buy	8	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	computer screen protector - Best Buy	9	0
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	"Computer, Laptop & Tablet Repairs & Services by Geek Squad ..."	10	0
2	buy computer screen	Plan to buy a computer screen in online shops	BING	"Computer Monitors: LCD, LED Monitors - Best Buy"	1	3
2	buy computer screen	Plan to buy a computer screen in online shops	BING	Monitors | Amazon.com	2	3
2	buy computer screen	Plan to buy a computer screen in online shops	BING	"LAPTOP SCREEN from $34.99, replacement LCD screens. …"	3	3
2	buy computer screen	Plan to buy a computer screen in online shops	BING	Touch Screen Monitor - Best Buy	4	1
2	buy computer screen	Plan to buy a computer screen in online shops	BING	Where can I buy a laptop screen?	5	2
2	buy computer screen	Plan to buy a computer screen in online shops	BING	How do you connect a monitor to a laptop?	6	0
2	buy computer screen	Plan to buy a computer screen in online shops	BING	What are the best PC monitors?	7	3
2	buy computer screen	Plan to buy a computer screen in online shops	BING	How do you attach a monitor to a laptop?	8	0
2	buy computer screen	Plan to buy a computer screen in online shops	BING	Curved Monitor - Best Buy	9	2
2	buy computer screen	Plan to buy a computer screen in online shops	BING	apple computer monitors - Best Buy	10	2
